id,difficulté,question,liste_reponses,indice
1,1,Ceci est une question test les réponses disponibles sont A B ou C,a;1;b;1;c;1,Les réponses sont A B ou C
2,1,Eh toi comment tu dis “bonjour” en anglais steuplé ?,hello;1,Voici un indice
3,1,Comment dit-on "je" en anglais ?,i;1,Voici un indice
4,1,Comment dit-on "tu" ou "vous" en anglais ?,you;1,Voici un indice
5,1,Comment dit-on "il" en anglais ?,he;1,Voici un indice
6,1,Comment dit-on "elle" en anglais ?,she;1,Voici un indice
7,1,Comment dit-on "ils" ou "elles" en anglais ?,they;1,Voici un indice
8,3,Comment dit-on “pêcheur” en anglais ?,fisherman;1;fisher;1;angler;1,Voici un indice
9,2,Quel est le pluriel de "child" en anglais ?,children;1,Indice : Ce n’est pas "childs".
10,2,Comment dit-on "maison" en anglais ?,house;1,Un endroit où tu vis.
11,2,Quel mot anglais signifie "chien" ?,dog;1,Un fidèle compagnon.
12,3,Comment traduit-on "ordinateur" en anglais ?,computer;1;pc;1,Un appareil électronique pour travailler.
13,3,Que signifie "to eat" en français ?,manger;1,Ce que tu fais quand tu as faim.
14,3,Comment dit-on "courir" en anglais ?,run;1,Ce que tu fais pour te déplacer vite.
15,4,Quel est le passé du verbe "to be" ?,was;1;were;1,Utilisé pour parler du passé.
16,4,Comment dit-on "je vais à l’école" en anglais ?,i go to school;1,Une phrase complète.
17,4,Comment dit-on "j’aime lire des livres" en anglais ?,i love reading books;1;i like reading books;1,Le mot reading est dans cette phrase.
18,4,Quel mot anglais désigne un oiseau qui vole la nuit et dit "hoot" ?,owl;1,C'est un animal nocturne.
19,1,Comment dit-on "chat" en anglais ?,cat;1,Le mot commence par c.
20,1,Quel est l’équivalent anglais de "bonjour" l’après-midi ?,good afternoon;1;hello;0.5,Le mot commence par good
21,1,Comment dit-on "merci" en anglais ?,thank you;1;thanks;1,Ça commence par th
22,2,Quel mot anglais signifie "ami" ?,friend;1;buddy;0.5;pal;1.1,Ça commence par f et finit par nd
23,2,Comment traduit-on "manger" en anglais ?,eat;1;dine;0.5;consume;0.5,Le mot commence par e
24,2,Quel mot anglais signifie "rapide" ?,fast;1;quick;1;swift;1.5,Le mot commence par f et finit par st
25,3,Comment dit-on "grandir" en anglais ?,grow;1;expand;1.5,Le mot commence par gr
26,3,Que signifie "to play" en français ?,jouer;1;s’amuser;0.5,Le mot commence par p
27,3,Comment traduit-on "bibliothèque" en anglais ?,library;1;book house;0.5,Ça commence par l et a book dedans
28,3,Quel est l'équivalent anglais de "fatigué" ?,tired;1;exhausted;0.5;sleepy;0.5,Le mot commence par t et finit par ed
29,4,Quel est le pluriel irrégulier de "foot" en anglais ?,feet;1;foots;0.5,Le mot commence par f et contient deux e
30,4,Comment dit-on "je n’aime pas les légumes" en anglais ?,i don’t like vegetables;1;i dislike vegetables;0.5,La phrase contient vegetables
31,4,Que signifie "to swim" en français ?,nager;1;se baigner;0.5,C’est ce que tu fais dans une piscine ou dans la mer
32,4,Quel mot anglais désigne une personne qui cuisine pour profession ?,chef;1;cook;0.5,Le mot commence par ch
33,4,Comment dit-on "il est minuit" en anglais ?,it’s midnight;1;it’s 12 a.m.;0.5,Le mot commence par mid
34,4,Quel est le synonyme de "happy" en anglais ?,joyful;1;content;0.5;glad;0.5,Ça commence par j et finit par ful
35,4,Que signifie "to understand" en français ?,comprendre;1;cerner;0.5,Le mot commence par u et finit par stand
36,4,Quel est le contraire de "dark" en anglais ?,light;1;bright;0.5,C’est ce que fait le soleil
37,4,Comment dit-on "Je suis professeur" en anglais ?,i am a teacher;1;i’m a teacher;1,Le mot teacher est dedans
38,4,Comment dit-on "J’aime la musique" en anglais ?,i love music;1;i like music;0.5,Le mot music est dedans
